,Customer_ID,Age,Location,Profession,Premium_Amount,Dependents,Product,Gender,is_insured_earlier,Organization
23,C_124,52,Mumbai,IT Project Manager,26170.49298,1,Health Insurance,Male,1,Genpact
24,C_125,53,Pune,Cybersecurity Specialist,30591.00369,3,Homeowners Insurance,Female,1,NIIT Technologies
25,C_126,46,Mumbai,Technical Writer,1629.007372,4,Auto Insurance,Male,0,Oracle Financial Services Software
26,C_127,31,Hyderabad,System Analyst,95730.23378,5,Disability Insurance,Male,1,Mindtree
27,C_128,54,Kolkata,Network Engineer,51690.05061,7,Health Insurance,Male,1,Genpact
28,C_129,44,Chennai,Data Scientist,4575.531124,6,Long-Term Care Insurance,Male,1,Hexaware Technologies
29,C_130,55,Delhi,IT Support Specialist,64595.48169,4,Life Insurance,Male,0,Oracle Financial Services Software
30,C_131,59,Indore,Web Developer,57202.77708,2,Disability Insurance,Male,1,Aricent
31,C_132,37,Bengaluru,Security Analyst,38065.72052,3,Health Insurance,Male,1,Zensar Technologies
32,C_133,49,Bengaluru,Business Analyst,2993.435314,2,Critical Illness Insurance,Female,1,Polaris Consulting & Services
33,C_134,33,Kolkata,Software Developer,13791.15082,7,Disability Insurance,Female,1,Tata Elxsi
34,C_135,41,Kolkata,Technical Writer,60761.73514,5,Long-Term Care Insurance,Male,0,Zensar Technologies
35,C_136,37,Noida,Systems Administrator,60336.98274,4,Life Insurance,Female,1,HCL Technologies
36,C_137,53,Hyderabad,Technical Writer,47768.44979,2,Travel Insurance,Male,1,Polaris Consulting & Services
37,C_138,32,Bengaluru,Database Administrator,94677.54619,3,Health Insurance,Male,1,Wipro
38,C_139,32,Kolkata,Database Administrator,6270.236238,0,Life Insurance,Male,0,Capgemini India
39,C_140,56,Bengaluru,Data Scientist,93433.69575,2,Disability Insurance,Male,0,NIIT Technologies
40,C_141,57,Pune,System Analyst,85906.14647,1,Homeowners Insurance,Female,0,Polaris Consulting & Services
41,C_142,48,Chennai,IT Project Manager,84298.85375,6,Disability Insurance,Female,0,Persistent Systems
42,C_143,41,Kolkata,Machine Learning Engineer,55899.39824,4,Life Insurance,Male,1,Mphasis
43,C_144,39,Bengaluru,UI/UX Designer,8008.677422,2,Renters Insurance,Male,0,Mindtree
44,C_145,39,Pune,IT Consultant,46020.52068,6,Homeowners Insurance,Male,0,IBM India
45,C_146,32,Noida,IT Support Specialist,68940.72953,7,Long-Term Care Insurance,Male,1,Aricent
46,C_147,30,Noida,Network Engineer,64831.30016,6,Homeowners Insurance,Male,0,Genpact
47,C_148,43,Hyderabad,Software Developer,16736.35261,3,Homeowners Insurance,Female,1,Zensar Technologies
48,C_149,48,Indore,Database Administrator,1209.116751,3,Life Insurance,Female,0,Lionbridge Technologies
49,C_150,47,Delhi,Cybersecurity Specialist,42125.50621,3,Renters Insurance,Female,1,Oracle Financial Services Software
50,C_151,44,Indore,IT Support Specialist,3621.722496,1,Renters Insurance,Female,1,Accenture India
51,C_152,34,Indore,Software Developer,66471.09555,7,Travel Insurance,Female,1,HCL Technologies
52,C_153,49,Indore,IT Consultant,17495.92622,7,Auto Insurance,Male,1,NIIT Technologies
53,C_154,56,Mumbai,DevOps Engineer,20423.46391,5,Life Insurance,Female,1,NIIT Technologies
54,C_155,50,Hyderabad,Network Engineer,23683.69624,1,Travel Insurance,Male,1,Capgemini India
55,C_156,41,Kolkata,Systems Administrator,95787.85274,6,Renters Insurance,Female,1,Hexaware Technologies
56,C_157,49,Indore,Data Scientist,40154.23342,1,Critical Illness Insurance,Female,0,Mphasis
57,C_158,52,Bengaluru,QA Engineer,88416.01084,7,Disability Insurance,Male,1,Hexaware Technologies
58,C_159,32,Delhi,Software Developer,47902.91829,7,Life Insurance,Male,1,Mindfire Solutions
59,C_160,35,Hyderabad,IT Support Specialist,85451.56863,3,Disability Insurance,Female,0,Wipro
60,C_161,42,Delhi,Network Architect,97520.7721,3,Long-Term Care Insurance,Female,1,HCL Technologies
61,C_162,42,Noida,Cybersecurity Specialist,9014.191617,3,Renters Insurance,Male,0,Lionbridge Technologies
62,C_163,36,Noida,Network Architect,5969.44389,1,Auto Insurance,Female,0,Persistent Systems
63,C_164,40,Noida,Web Developer,36713.82041,1,Travel Insurance,Female,0,Hexaware Technologies
64,C_165,38,Pune,IT Support Specialist,29721.94104,4,Life Insurance,Male,1,Tech Mahindra
65,C_166,31,Noida,Network Architect,69903.55515,5,Travel Insurance,Male,0,Cyient
66,C_167,53,Chennai,Web Developer,91352.44278,5,Renters Insurance,Male,0,Persistent Systems
67,C_168,57,Hyderabad,Cloud Solutions Architect,98160.86165,0,Disability Insurance,Female,0,Aricent
68,C_169,32,Delhi,UI/UX Designer,11130.06552,4,Disability Insurance,Female,1,Genpact
69,C_170,38,Chennai,Cybersecurity Specialist,11674.11565,5,Renters Insurance,Male,1,Accenture India
70,C_171,43,Ahmedabad,Network Architect,84158.73041,4,Long-Term Care Insurance,Male,0,Aricent
71,C_172,50,Hyderabad,Business Analyst,19217.56148,7,Disability Insurance,Female,0,Lionbridge Technologies
72,C_173,45,Indore,Cloud Solutions Architect,80567.87763,5,Critical Illness Insurance,Female,1,IBM India
73,C_174,33,Noida,Systems Administrator,70720.55155,4,Homeowners Insurance,Female,1,Mindfire Solutions
74,C_175,43,Hyderabad,Data Scientist,93008.50608,6,Disability Insurance,Male,0,Tata Elxsi
75,C_176,43,Kolkata,Network Architect,32262.21927,7,Disability Insurance,Female,0,KPIT Technologies
76,C_177,46,Noida,DevOps Engineer,72430.27473,2,Homeowners Insurance,Female,0,Wipro
77,C_178,58,Mumbai,Technical Writer,4941.059581,7,Long-Term Care Insurance,Female,1,TCS
78,C_179,32,Delhi,Network Engineer,61614.61601,0,Homeowners Insurance,Male,0,Mphasis
79,C_180,33,Bengaluru,Machine Learning Engineer,39355.75486,0,Long-Term Care Insurance,Male,0,Hexaware Technologies
80,C_181,43,Pune,DevOps Engineer,93343.79991,5,Travel Insurance,Female,1,Cyient
81,C_182,50,Delhi,Security Analyst,44984.49567,7,Renters Insurance,Male,1,Cyient
82,C_183,40,Chennai,IT Consultant,30271.78666,7,Disability Insurance,Male,1,KPIT Technologies
83,C_184,55,Pune,IT Project Manager,90786.59484,3,Travel Insurance,Male,0,Oracle Financial Services Software
84,C_185,48,Indore,Technical Writer,92311.93639,4,Long-Term Care Insurance,Male,0,Genpact
85,C_186,45,Pune,Technical Writer,65604.38857,6,Long-Term Care Insurance,Female,0,Birlasoft
86,C_187,30,Ahmedabad,Business Analyst,87411.32995,7,Renters Insurance,Female,1,Genpact
87,C_188,43,Chennai,Software Developer,77369.59378,6,Long-Term Care Insurance,Female,0,Mindtree
88,C_189,40,Noida,Data Scientist,80961.72161,2,Renters Insurance,Female,0,Accenture India
89,C_190,54,Bengaluru,Software Developer,36785.58002,1,Health Insurance,Male,1,Mindfire Solutions
90,C_191,50,Mumbai,Cloud Solutions Architect,16106.83049,0,Critical Illness Insurance,Male,1,Mindtree
91,C_192,46,Chennai,UI/UX Designer,41052.42524,5,Renters Insurance,Male,1,HCL Technologies
92,C_193,49,Pune,Machine Learning Engineer,41587.66131,4,Auto Insurance,Female,0,Aricent
93,C_194,59,Indore,Security Analyst,60495.00148,3,Health Insurance,Female,1,Persistent Systems
94,C_195,48,Bengaluru,Technical Writer,44503.62302,1,Disability Insurance,Female,1,Mindfire Solutions
95,C_196,54,Delhi,UI/UX Designer,99031.62763,0,Long-Term Care Insurance,Female,0,Polaris Consulting & Services
96,C_197,44,Delhi,Database Administrator,77083.70303,4,Long-Term Care Insurance,Female,1,Persistent Systems
97,C_198,41,Ahmedabad,Data Scientist,50942.15449,0,Auto Insurance,Female,1,Accenture India
98,C_199,55,Mumbai,Cybersecurity Specialist,63699.45438,5,Disability Insurance,Male,1,HCL Technologies
99,C_200,35,Chennai,QA Engineer,4449.203679,2,Travel Insurance,Female,0,Lionbridge Technologies
100,C_201,34,Chennai,Technical Writer,82777.19224,6,Travel Insurance,Female,0,Polaris Consulting & Services
101,C_202,53,Kolkata,IT Project Manager,30635.66272,6,Long-Term Care Insurance,Male,0,QuEST Global
102,C_203,57,Hyderabad,Web Developer,69446.92164,5,Life Insurance,Male,1,Birlasoft
103,C_204,56,Chennai,Cybersecurity Specialist,49292.86605,5,Critical Illness Insurance,Male,0,NIIT Technologies
104,C_205,56,Kolkata,System Analyst,53470.84406,2,Disability Insurance,Male,1,TCS
105,C_206,35,Chennai,IT Project Manager,35667.95131,6,Critical Illness Insurance,Male,1,Tech Mahindra
106,C_207,38,Noida,Security Analyst,6109.07548,6,Life Insurance,Male,0,QuEST Global
107,C_208,35,Ahmedabad,DevOps Engineer,89042.16407,2,Renters Insurance,Male,0,Cyient
108,C_209,46,Mumbai,IT Consultant,40385.41245,1,Renters Insurance,Male,1,Capgemini India
109,C_210,31,Indore,IT Project Manager,87015.74854,2,Long-Term Care Insurance,Female,1,HCL Technologies
110,C_211,39,Bengaluru,Security Analyst,17373.12458,0,Homeowners Insurance,Female,1,Hexaware Technologies
111,C_212,33,Mumbai,Network Architect,56306.77097,7,Auto Insurance,Male,0,Infosys
112,C_213,45,Hyderabad,System Analyst,24465.93503,4,Renters Insurance,Male,0,Tata Elxsi
113,C_214,51,Ahmedabad,System Analyst,99053.61123,5,Health Insurance,Male,0,Hexaware Technologies
114,C_215,54,Ahmedabad,Web Developer,77691.00051,5,Long-Term Care Insurance,Male,0,Hexaware Technologies
115,C_216,57,Chennai,Database Administrator,7855.874561,7,Disability Insurance,Female,1,Lionbridge Technologies
116,C_217,55,Mumbai,Database Administrator,98112.9111,1,Homeowners Insurance,Female,0,Tata Elxsi
117,C_218,36,Pune,Software Developer,32145.615,5,Homeowners Insurance,Female,0,Birlasoft
118,C_219,38,Chennai,Systems Administrator,31345.54323,0,Auto Insurance,Female,1,QuEST Global
119,C_220,47,Pune,UI/UX Designer,43984.93751,2,Renters Insurance,Male,0,Polaris Consulting & Services
120,C_221,57,Mumbai,UI/UX Designer,87676.14454,2,Homeowners Insurance,Female,1,KPIT Technologies
121,C_222,56,Ahmedabad,Technical Writer,61143.57625,2,Long-Term Care Insurance,Female,0,Cognizant
122,C_223,40,Bengaluru,Technical Writer,39673.65782,1,Life Insurance,Male,1,IBM India
123,C_224,30,Pune,Cloud Solutions Architect,26023.36863,7,Travel Insurance,Female,1,NIIT Technologies
124,C_225,54,Hyderabad,UI/UX Designer,28730.37576,5,Long-Term Care Insurance,Male,1,Tech Mahindra
125,C_226,39,Bengaluru,UI/UX Designer,53116.50797,4,Disability Insurance,Male,1,IBM India
126,C_227,41,Chennai,DevOps Engineer,42013.81248,1,Critical Illness Insurance,Male,1,Larsen & Toubro Infotech (LTI)
127,C_228,42,Noida,Network Architect,80138.85339,3,Critical Illness Insurance,Female,1,Mphasis
128,C_229,44,Chennai,Business Analyst,23499.97507,4,Life Insurance,Female,0,Hexaware Technologies
129,C_230,39,Ahmedabad,IT Project Manager,85082.91506,3,Homeowners Insurance,Male,1,Mphasis
130,C_231,54,Hyderabad,Systems Administrator,37370.5345,3,Auto Insurance,Male,1,Infosys
131,C_232,54,Kolkata,Software Developer,80689.58629,6,Life Insurance,Female,0,Mindfire Solutions
132,C_233,58,Indore,UI/UX Designer,13398.80438,0,Health Insurance,Male,0,Zensar Technologies
133,C_234,58,Delhi,UI/UX Designer,26541.10104,5,Critical Illness Insurance,Female,0,Larsen & Toubro Infotech (LTI)
134,C_235,56,Noida,Data Scientist,89195.76557,6,Auto Insurance,Male,0,Infosys
135,C_236,37,Mumbai,Network Architect,48283.30173,7,Long-Term Care Insurance,Female,0,IBM India
136,C_237,31,Mumbai,Network Engineer,3069.444288,4,Critical Illness Insurance,Male,1,TCS
137,C_238,40,Mumbai,Web Developer,95666.08459,2,Travel Insurance,Female,0,Mindfire Solutions
138,C_239,57,Bengaluru,Technical Writer,17877.01226,5,Renters Insurance,Male,0,HCL Technologies
139,C_240,33,Kolkata,IT Support Specialist,40441.45069,2,Renters Insurance,Female,0,Lionbridge Technologies
140,C_241,41,Indore,IT Support Specialist,31058.84498,5,Homeowners Insurance,Male,0,Mphasis
141,C_242,58,Kolkata,Technical Writer,70960.21689,6,Renters Insurance,Male,1,Mindtree
142,C_243,41,Hyderabad,Network Architect,56662.22545,4,Homeowners Insurance,Male,0,Hexaware Technologies
143,C_244,46,Delhi,Cybersecurity Specialist,86163.0737,3,Disability Insurance,Male,0,NIIT Technologies
144,C_245,47,Bengaluru,Cloud Solutions Architect,79867.61702,2,Long-Term Care Insurance,Male,0,HCL Technologies
145,C_246,34,Delhi,Business Analyst,88379.79304,2,Disability Insurance,Female,1,Birlasoft
146,C_247,41,Pune,Data Scientist,50766.12447,5,Long-Term Care Insurance,Male,1,Accenture India
147,C_248,38,Mumbai,Network Engineer,65763.71092,6,Health Insurance,Male,1,NIIT Technologies
148,C_249,47,Pune,Database Administrator,91760.04052,1,Life Insurance,Male,1,Hexaware Technologies
149,C_250,43,Noida,UI/UX Designer,23308.87517,5,Homeowners Insurance,Male,1,Zensar Technologies
150,C_251,53,Delhi,System Analyst,63905.40143,7,Homeowners Insurance,Male,1,Wipro
151,C_252,45,Bengaluru,Technical Writer,90363.44928,4,Homeowners Insurance,Female,1,Zensar Technologies
152,C_253,38,Pune,Security Analyst,32246.52031,2,Auto Insurance,Female,1,Hexaware Technologies
153,C_254,45,Kolkata,IT Consultant,44373.39545,6,Auto Insurance,Male,1,Capgemini India
154,C_255,52,Bengaluru,IT Support Specialist,56001.89974,7,Travel Insurance,Female,1,Aricent
155,C_256,41,Indore,Network Architect,53149.61038,2,Auto Insurance,Male,0,Cyient
156,C_257,43,Kolkata,IT Support Specialist,23798.95138,1,Long-Term Care Insurance,Male,1,Capgemini India
157,C_258,56,Mumbai,Software Developer,33351.51793,3,Life Insurance,Female,0,Accenture India
158,C_259,46,Ahmedabad,Web Developer,61242.22075,2,Travel Insurance,Female,0,Cyient
159,C_260,30,Kolkata,IT Support Specialist,79215.94781,6,Long-Term Care Insurance,Male,1,Infosys
160,C_261,52,Kolkata,Business Analyst,78959.27028,7,Homeowners Insurance,Male,1,Mindtree
161,C_262,45,Chennai,Software Developer,86695.99642,5,Long-Term Care Insurance,Male,1,NIIT Technologies
162,C_263,48,Chennai,DevOps Engineer,55496.90415,4,Auto Insurance,Female,1,Tech Mahindra
163,C_264,54,Noida,Software Developer,11188.45401,5,Renters Insurance,Female,0,Persistent Systems
164,C_265,39,Mumbai,Business Analyst,46106.50818,7,Life Insurance,Male,1,Aricent
165,C_266,38,Chennai,Network Engineer,84888.08778,3,Critical Illness Insurance,Female,1,Genpact
166,C_267,52,Indore,IT Consultant,80336.80294,3,Health Insurance,Male,0,Larsen & Toubro Infotech (LTI)
167,C_268,59,Bengaluru,Machine Learning Engineer,75479.88755,4,Disability Insurance,Male,1,Mphasis
168,C_269,59,Kolkata,Database Administrator,67078.95466,2,Life Insurance,Female,0,QuEST Global
169,C_270,32,Ahmedabad,Cloud Solutions Architect,37306.277,7,Auto Insurance,Female,1,TCS
170,C_271,42,Mumbai,Cloud Solutions Architect,54991.95719,3,Renters Insurance,Male,1,Tech Mahindra
171,C_272,50,Delhi,Technical Writer,9657.039462,5,Renters Insurance,Male,0,NIIT Technologies
172,C_273,47,Kolkata,Database Administrator,84292.29071,4,Health Insurance,Male,1,Accenture India
173,C_274,56,Ahmedabad,Cybersecurity Specialist,87928.82041,3,Travel Insurance,Male,0,Tata Elxsi
174,C_275,45,Delhi,Business Analyst,12112.31658,7,Renters Insurance,Female,1,Aricent
175,C_276,53,Chennai,Business Analyst,91960.31268,1,Auto Insurance,Female,0,Tech Mahindra
176,C_277,43,Noida,DevOps Engineer,56722.305,4,Health Insurance,Female,1,Birlasoft
177,C_278,40,Mumbai,Machine Learning Engineer,55763.66484,0,Homeowners Insurance,Female,1,Genpact
178,C_279,51,Delhi,Cloud Solutions Architect,8926.391933,7,Travel Insurance,Female,0,Infosys
179,C_280,57,Noida,IT Consultant,88921.80657,3,Travel Insurance,Male,0,Mphasis
180,C_281,52,Indore,Data Scientist,70668.17948,3,Homeowners Insurance,Female,0,TCS
181,C_282,41,Hyderabad,Systems Administrator,45370.97034,2,Renters Insurance,Female,0,Cyient
182,C_283,59,Chennai,QA Engineer,89408.09104,7,Long-Term Care Insurance,Female,1,Birlasoft
183,C_284,46,Bengaluru,QA Engineer,28739.01208,1,Travel Insurance,Male,1,Capgemini India
184,C_285,58,Hyderabad,Cybersecurity Specialist,37562.63677,7,Critical Illness Insurance,Female,0,Capgemini India
185,C_286,48,Chennai,Cloud Solutions Architect,7056.537324,7,Critical Illness Insurance,Male,1,QuEST Global
186,C_287,57,Delhi,Cybersecurity Specialist,33311.53508,6,Disability Insurance,Male,0,Wipro
187,C_288,36,Mumbai,Machine Learning Engineer,26378.06029,0,Long-Term Care Insurance,Male,0,Mphasis
188,C_289,51,Noida,Network Engineer,9367.344377,6,Life Insurance,Female,0,Infosys
189,C_290,33,Mumbai,Network Architect,13060.93362,2,Travel Insurance,Female,0,QuEST Global
190,C_291,52,Bengaluru,Technical Writer,67525.84478,4,Disability Insurance,Female,1,IBM India
191,C_292,48,Ahmedabad,Web Developer,27606.93265,0,Life Insurance,Male,1,Hexaware Technologies
192,C_293,51,Pune,Software Developer,57917.94145,1,Disability Insurance,Male,1,Larsen & Toubro Infotech (LTI)
193,C_294,31,Hyderabad,Business Analyst,85592.8401,4,Long-Term Care Insurance,Male,1,Oracle Financial Services Software
194,C_295,57,Bengaluru,Machine Learning Engineer,55993.6068,7,Disability Insurance,Female,0,NIIT Technologies
195,C_296,51,Bengaluru,Security Analyst,53384.62622,1,Disability Insurance,Female,0,IBM India
196,C_297,44,Pune,Data Scientist,62382.18523,3,Travel Insurance,Female,1,Capgemini India
197,C_298,40,Ahmedabad,QA Engineer,55144.63203,5,Life Insurance,Female,1,Oracle Financial Services Software
198,C_299,47,Delhi,IT Consultant,18691.83321,6,Long-Term Care Insurance,Female,1,Wipro
199,C_300,35,Hyderabad,Software Developer,92660.0253,4,Renters Insurance,Male,1,Mindfire Solutions
200,C_301,31,Indore,IT Support Specialist,74177.15948,2,Renters Insurance,Male,1,Larsen & Toubro Infotech (LTI)
201,C_302,59,Chennai,Cybersecurity Specialist,47573.44165,0,Homeowners Insurance,Female,0,Polaris Consulting & Services
202,C_303,36,Pune,System Analyst,30621.76064,4,Disability Insurance,Female,1,NIIT Technologies
203,C_304,48,Delhi,IT Consultant,67562.86114,0,Travel Insurance,Male,0,HCL Technologies
204,C_305,33,Noida,Data Scientist,56292.67546,4,Auto Insurance,Female,1,IBM India
205,C_306,35,Delhi,Network Engineer,11092.10099,1,Critical Illness Insurance,Female,0,Genpact
206,C_307,32,Pune,Network Engineer,14676.94093,6,Long-Term Care Insurance,Female,1,Zensar Technologies
207,C_308,45,Bengaluru,Data Scientist,67814.00734,7,Long-Term Care Insurance,Male,1,Cyient
208,C_309,53,Delhi,Cybersecurity Specialist,82237.98308,6,Renters Insurance,Female,0,Wipro
209,C_310,41,Bengaluru,Software Developer,21414.85615,6,Health Insurance,Female,0,IBM India
210,C_311,47,Ahmedabad,QA Engineer,67583.97655,0,Auto Insurance,Female,1,QuEST Global
211,C_312,45,Indore,Systems Administrator,3589.170559,6,Health Insurance,Male,0,Persistent Systems
212,C_313,33,Noida,System Analyst,31766.98368,7,Renters Insurance,Male,1,Birlasoft
213,C_314,36,Ahmedabad,Network Architect,96122.10505,7,Travel Insurance,Female,1,Capgemini India
214,C_315,44,Pune,UI/UX Designer,12307.21301,3,Travel Insurance,Female,1,Accenture India
215,C_316,45,Hyderabad,UI/UX Designer,9878.777184,1,Disability Insurance,Male,1,Larsen & Toubro Infotech (LTI)
216,C_317,42,Delhi,Network Engineer,66004.31421,6,Travel Insurance,Male,1,Larsen & Toubro Infotech (LTI)
217,C_318,59,Ahmedabad,DevOps Engineer,67689.46423,3,Auto Insurance,Female,1,IBM India
218,C_319,40,Noida,DevOps Engineer,19889.40808,7,Life Insurance,Female,1,HCL Technologies
219,C_320,37,Ahmedabad,IT Support Specialist,45590.92016,4,Travel Insurance,Female,1,Lionbridge Technologies
220,C_321,41,Ahmedabad,Technical Writer,96184.88905,6,Renters Insurance,Female,0,Lionbridge Technologies
221,C_322,35,Bengaluru,IT Support Specialist,97076.36003,5,Long-Term Care Insurance,Male,0,IBM India
222,C_323,57,Noida,Technical Writer,17599.49986,1,Auto Insurance,Male,0,Infosys
223,C_324,32,Kolkata,Database Administrator,56474.87359,3,Homeowners Insurance,Female,1,IBM India
224,C_325,32,Hyderabad,Machine Learning Engineer,58964.57842,6,Life Insurance,Female,0,Mindtree
225,C_326,56,Delhi,Business Analyst,8376.838808,7,Auto Insurance,Female,0,Tata Elxsi
226,C_327,36,Noida,UI/UX Designer,9960.395389,5,Disability Insurance,Male,1,Genpact
227,C_328,45,Noida,IT Project Manager,53992.76384,3,Life Insurance,Female,0,Wipro
228,C_329,56,Kolkata,IT Project Manager,5805.733429,0,Auto Insurance,Male,0,Infosys
229,C_330,30,Chennai,Web Developer,21951.19678,7,Critical Illness Insurance,Male,0,Persistent Systems
230,C_331,47,Kolkata,Technical Writer,83744.70934,7,Travel Insurance,Male,0,Mindtree
231,C_332,55,Noida,IT Support Specialist,12663.56804,6,Disability Insurance,Male,1,Polaris Consulting & Services
232,C_333,48,Mumbai,Data Scientist,8281.080278,3,Life Insurance,Female,1,Tata Elxsi
233,C_334,39,Indore,Web Developer,57698.11369,2,Disability Insurance,Male,1,Mphasis
234,C_335,44,Ahmedabad,Software Developer,84222.28793,6,Homeowners Insurance,Male,0,NIIT Technologies
235,C_336,41,Delhi,Security Analyst,10904.13404,7,Travel Insurance,Female,1,Polaris Consulting & Services
236,C_337,55,Mumbai,QA Engineer,20657.12045,6,Homeowners Insurance,Male,0,QuEST Global
237,C_338,53,Chennai,Cybersecurity Specialist,26709.46504,7,Travel Insurance,Female,0,QuEST Global
238,C_339,53,Noida,Security Analyst,29084.84753,5,Life Insurance,Male,0,Genpact
239,C_340,53,Pune,IT Consultant,1351.275592,2,Homeowners Insurance,Female,1,TCS
240,C_341,38,Pune,Network Architect,52038.96105,3,Auto Insurance,Female,0,TCS
241,C_342,46,Delhi,Data Scientist,37718.94082,7,Long-Term Care Insurance,Female,1,Cyient
242,C_343,30,Kolkata,Data Scientist,52741.2941,6,Auto Insurance,Male,1,Larsen & Toubro Infotech (LTI)
243,C_344,54,Bengaluru,Data Scientist,50420.69689,5,Auto Insurance,Female,0,Mindfire Solutions
244,C_345,57,Hyderabad,Network Architect,95851.79648,5,Long-Term Care Insurance,Female,1,Larsen & Toubro Infotech (LTI)
245,C_346,39,Delhi,Systems Administrator,70821.62833,2,Critical Illness Insurance,Female,0,Infosys
246,C_347,57,Noida,QA Engineer,70509.86988,5,Critical Illness Insurance,Female,0,Infosys
247,C_348,42,Mumbai,Machine Learning Engineer,46913.05324,4,Travel Insurance,Male,0,NIIT Technologies
248,C_349,38,Bengaluru,Cloud Solutions Architect,16450.99471,1,Travel Insurance,Male,1,Mindtree
249,C_350,32,Indore,Network Architect,35804.45783,3,Health Insurance,Female,0,Birlasoft
250,C_351,50,Mumbai,Systems Administrator,84325.50138,4,Long-Term Care Insurance,Female,1,Oracle Financial Services Software
251,C_352,44,Indore,Machine Learning Engineer,25924.13785,6,Renters Insurance,Male,1,Aricent
252,C_353,55,Delhi,Software Developer,70347.28971,3,Disability Insurance,Female,0,TCS
253,C_354,42,Noida,Network Architect,97154.23733,2,Critical Illness Insurance,Male,1,Capgemini India
254,C_355,43,Delhi,Network Architect,25558.69117,2,Disability Insurance,Female,0,HCL Technologies
255,C_356,35,Chennai,Systems Administrator,85960.11352,2,Disability Insurance,Male,0,Tech Mahindra
256,C_357,36,Kolkata,UI/UX Designer,40144.45859,1,Renters Insurance,Female,1,HCL Technologies
257,C_358,36,Chennai,Machine Learning Engineer,20830.48225,4,Renters Insurance,Female,1,IBM India
258,C_359,51,Mumbai,Software Developer,53969.51053,4,Disability Insurance,Male,0,TCS
259,C_360,30,Delhi,IT Consultant,2401.514633,7,Health Insurance,Female,0,IBM India
260,C_361,51,Chennai,Technical Writer,84389.7547,2,Auto Insurance,Male,0,Cyient
261,C_362,49,Indore,Machine Learning Engineer,95597.71763,7,Life Insurance,Male,1,Zensar Technologies
262,C_363,41,Mumbai,Network Engineer,55157.57107,3,Life Insurance,Female,0,Capgemini India
263,C_364,57,Pune,QA Engineer,60108.32042,3,Long-Term Care Insurance,Female,0,Mphasis
264,C_365,42,Mumbai,Data Scientist,72023.07056,6,Health Insurance,Male,0,Cyient
265,C_366,41,Mumbai,Machine Learning Engineer,2162.636706,7,Life Insurance,Male,1,Cognizant
266,C_367,40,Ahmedabad,DevOps Engineer,56977.72622,5,Auto Insurance,Female,1,Wipro
267,C_368,36,Indore,QA Engineer,39421.94195,7,Health Insurance,Female,1,Tata Elxsi
268,C_369,47,Noida,Data Scientist,17786.74356,0,Long-Term Care Insurance,Male,0,Mphasis
269,C_370,50,Kolkata,Database Administrator,53808.44986,6,Travel Insurance,Female,0,Tech Mahindra
270,C_371,34,Noida,Database Administrator,34882.66229,5,Auto Insurance,Male,1,Polaris Consulting & Services
271,C_372,55,Delhi,Network Architect,24026.59794,1,Life Insurance,Female,1,Larsen & Toubro Infotech (LTI)
